logical_pct,creative_pct,verbal_pct,social_pct,scientific_pct,practical_pct,age,dominant_profile
31.8338,12.5082,1.847,3.2946,22.0256,28.4908,3,Logical-Practical
13.6141,19.0557,11.4502,1.4424,4.2272,50.2104,8,Creative-Practical
18.8604,22.6727,50.1726,3.1021,1.4801,3.712,14,Creative-Verbal
39.2698,17.2766,1.0475,1.0475,4.8453,36.5131,13,Logical-Practical
41.2705,13.7039,2.135,2.135,2.135,38.6206,9,Logical-Practical
16.4275,6.965,18.0811,1.286,51.3391,5.9013,11,Scientific-Verbal
44.8773,7.4694,31.3225,0.8339,11.1247,4.3723,12,Logical-Verbal
17.4601,24.984,8.721,0.7179,0.7179,47.3992,13,Creative-Practical
34.0034,28.107,1.8879,16.8374,1.8879,17.2764,14,Creative-Logical
37.4615,8.6324,8.5339,15.5627,23.9286,5.8808,6,Logical-Scientific
28.9715,14.5326,15.8906,23.7719,0.7776,16.0559,3,Logical-Social
17.8764,12.3686,21.2823,8.4065,16.4068,23.6595,10,Practical-Verbal
2.6491,2.6491,2.6491,54.2981,2.6491,35.1057,6,Practical-Social
1.0981,7.1614,25.3953,31.4162,12.0166,22.9124,7,Social-Verbal
17.8018,47.1887,19.8009,2.5965,2.5965,10.0156,6,Creative-Verbal
16.9483,23.1536,11.5158,0.8386,26.19,21.3537,14,Creative-Scientific
20.02,26.4551,16.4793,1.1168,1.1168,34.812,5,Creative-Practical
23.5771,13.2229,1.2293,1.2293,41.3043,19.4371,6,Logical-Scientific
0.8886,26.6761,0.8886,0.8886,42.0175,28.6406,5,Practical-Scientific
2.0084,16.092,25.462,2.0084,50.0238,4.4054,6,Scientific-Verbal
23.0205,23.974,23.1002,6.301,22.704,0.9003,7,Creative-Verbal
4.8062,1.6489,16.5426,49.5244,13.3611,14.1169,6,Social-Verbal
8.2544,28.0759,8.757,37.714,15.0376,2.1612,4,Creative-Social
6.6878,42.284,1.0718,31.7649,17.1196,1.0718,11,Creative-Social
13.8547,29.744,16.83,0.9362,20.5323,18.1028,5,Creative-Scientific
18.8599,9.9807,1.1471,30.1227,38.7424,1.1471,9,Scientific-Social
86.6187,1.8121,1.8121,6.133,1.8121,1.8121,4,Logical-Social
25.1988,22.5658,1.3211,1.3211,1.3211,48.2719,13,Logical-Practical
1.758,1.758,16.5436,1.758,45.8962,32.2862,12,Practical-Scientific
1.3348,7.1793,44.7219,1.3348,9.1167,36.3126,8,Practical-Verbal
2.0718,2.0718,71.5558,2.0718,2.0718,20.1568,12,Practical-Verbal
8.4574,42.3073,0.9113,32.62,10.1556,5.5485,3,Creative-Social
12.4247,24.3991,0.8318,18.4834,0.8318,43.0292,11,Creative-Practical
